size,direction,distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mouse_target.x,mouse_target.y,mouse_target.leftButton,mouse_target.midButton,mouse_target.rightButton,mouse_target.time,mouse_target.clicked_name,session,participant,date,expName,frameRate,
100,60,100,0,47,47,12,-0.32875,0.48,1,0,0,0.8318133000284433,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,15,500,0,48,48,82,0.23,0.37777777777777777,1,0,0,0.7148885999340564,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,500,0,49,49,99,-0.205,-0.3688888888888889,1,0,0,0.6482729000272229,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,300,0,50,50,49,-0.11,0.23333333333333334,1,0,0,0.5322639000369236,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,60,200,0,51,51,34,-0.2125,0.24666666666666667,1,0,0,0.5155119999544695,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,75,200,0,52,52,39,-0.3425,0.29777777777777775,1,0,0,0.44878620002418756,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,400,0,53,53,68,-0.0075,0.008888888888888889,1,0,0,0.6149878998985514,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
400,60,100,0,54,54,15,-0.32,0.52,1,0,0,0.3825983999995515,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,45,400,0,55,55,70,-0.005,0.02,1,0,0,0.49907820008229464,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,100,0,56,56,9,-0.27375,0.4955555555555556,1,0,0,0.4821665999479592,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,30,200,0,57,57,25,-0.1775,0.4577777777777778,1,0,0,0.5814745000097901,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,45,500,0,58,58,88,0.065,-0.08,1,0,0,0.6818277999991551,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,60,400,0,59,59,73,-0.07375,-0.09333333333333334,1,0,0,0.5154244999866933,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
200,45,400,0,60,60,69,0.00875,0.05333333333333334,1,0,0,0.5146393000613898,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,30,100,0,61,61,4,-0.2575,0.5333333333333333,1,0,0,0.566323300008662,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
100,60,300,0,62,62,52,-0.19875,0.11555555555555555,1,0,0,0.748313199961558,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
300,30,100,0,63,63,6,-0.2875,0.5577777777777778,1,0,0,0.49876149999909103,target,001,part2,2018_Dec_24_1848,fitts,60.02775682248813,
